name,dataset_ids
Anna Monro,NA
Sophia Amini,Gallagher_2018
Julian Ash,Mokany_2008
Tara Boreham,Gallagher_2018
Willi A. Brand,"Schulze_1998, Schulze_2006, Turner_2010"
Amber Briggs,Briggs_2010
John Brock,Brock_1993
Don Bulter,Westoby_2014
Robert Chinnock,Chinnock_2007
Peter Clarke,"Knox_2011, Clarke_2015"
Derek Clayton,GrassBase_2014
Steven Clemants,Williams_2011
Harold Trevor Clifford,Wright_2000
Michelle Cochrane,Roderick_2002
Bronwyn Collins,Fonseca_2000
Alessandro Conti,French_2017
Wendy Cooper,"Cooper_2004, Cooper_2013"
William Cooper,"Cooper_2004, Cooper_2013"
Ian Cowie,NTH_2014
Lyn Craven,"Craven_1987, Craven_2010"
Ian Davidson,Gallagher_2011_3
Derek Eamus,"Eamus_1998, Eamus_1999, MacinnisNg_2004, Taylor_2008, MacinnisNg_2016"
Judy Egan,Lord_1997
Chris Fahey,French_2017
Paul Irwin Forster,"Forster_1992, Forster_1995"
John Foster,Gallagher_2018
Tony French,French_2017
Allison Frith,Lewis_2015
Ronald Gardiner,Gardiner_2019
Ethel Goble-Garratt,Goble_1981
Peter Grubb,Grubb_2008
Chris Guinane,French_2017
TJ Hall,Hall_1981
Monique Hallet,Williams_2011
Tammy Haslehurst,Leishman_2007
Foteini Hassiotou,Hassiotou_2009
John Herbohn,Wills_2018
Peter Hocking,"Hocking_1982, Hocking_1986"
Jing Hu,Wills_2018
Kate Hughes,Hughes_2005
Muhammad Islam,"Islam_1999_1, Islam_1999_2"
Ian Kealley,Turner_2010
Greg Keighery,Keighery_2004
James Kirkpatrick,Kirkpatrick_2020
Kirsten Knox,Knox_2011
Luka Kovac,Gallagher_2018
Kaely Kreger,Nicholson_2017
John Kuo,Kuo_1982
Martin Lambert,Gallagher_2018
Dana Lanceman,Gallagher_2018
Michael Lawes,"Lawes_2012, Clarke_2015"
Claire Laws,Gallagher_2018
Emma Laxton,Laxton_2005
Liz Lindsay,Wright_2009
Daniel Montoya Londono,Gallagher_2018
Christiane Ludwig,Turner_2010
Ian Lunt,Lunt_2012
Mary Maconochie,Nicholson_2017
Karen Marais,Gallagher_2018
Bruce Maslin,Maslin_2012
Riah Mason,Dwyer_2018
Richard Mazanec,Ahrens_2019
Kate McClenahan,MacinnisNg_2004
Elissa McFarlane,Gallagher_2018
Huw Morgan,Morgan_2005
Peter Myerscough,Ooi_2007
Des Nelson,Jurado_1992
Dominic Neyland,Prior_2016
Mike Olsen,McCarthy_2017
Jacob McC. Overton,Fonseca_2000
Paula Peeters,Peeters_2002
George Perry,Nicholson_2017
Aaron Phillips,Gallagher_2018
Loren Pollitt,Gallagher_2018
Rob Polmear,Prior_2016
Aina Price,Jordan_2015
Thomas Pyne,Gallagher_2018
R.J.Williams,Schulze_1998
Barbara Rice,"Rice_1991, Hughes_1992, Leishman_1993, Leishman_1995"
Jessica L. Rigg,Lee_2019
Bryan Roberts,Roberts_2006
Miguel de Salas,TMAG_2009
Anna Salomaa,Osborne_2014
Inge Schulze,"Schulze_1998, Schulze_2006_2"
Waltraud Schulze,Schulze_1998
Andrew John Scott,Scott_2010
Alison Shapcott,Richards_2003
Luke Shoo,Gardiner_2019
Anne Sjostrom,Sjostrom_2006
Santiago Soliveres,Soliveres_2012
Amanda Spooner,WAH_1998
George Stewart,"Stewart_1995, Schmidt_1997, Schmidt_2003"
Jan Suda,Gallagher_2011_1
Catherine Tait,Williams_2011
Daniel Taylor,Taylor_2008
Ian Thompson,Thompson_2001
Hellmut R. Toelken,Toelken_1996
Malcolm Trudgen,"Trudgen_2005, Trudgen_2014"
W.E Westman,Westman_1977
Erica Williams,Westoby_2004
Kathryn Willis,French_2017
J. Bastow Wilson,Smith_1996
Jian Yen,Vesk_2019
